Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
LNL Industries Sdn Bhd,,,Lee Kam Loong,Director,,,"Lot 1279, Sublot 62, Block 7 MTLD, Lorong Demak Laut 7A-1, Demak Laut Industiral Park, Sejingkat, Kuching",93050.0,,Sarawak,Malaysia,6082-432 891,6082-432 892,info@boldvision.com.my,,"Blow Moulding, Injection Moulding",Plastic Bottles and Containers,
Lit Seng Moulding Sdn Bhd,657799-H,2004.0,SC Yeo,Managing Director,,,"Lot PTD 2020, Block B, Jalan Rami 5, Kawasan Perindustrian Bukit Pasir, Sungai Raya",84300.0,Muar,Johor,Malaysia,606-985 9886/7,606-985 8819,boon_plastic@yahoo.com,www.litseng.com,,Mould Makers,"Germany, Vietnam, Indonesia, Thailand, Singapore"
LJH Plastic Trading Sdn Bhd,795172-U,,Lee Joo Hock,Director,Kimberly Lee Pei San,Manager,"37, Jalan Seroja 47, Taman Johor Jaya",81100.0,Johor Bahru,Johor,Malaysia,607-3557 908,607-3560 764,lawchaisoon@yahoo.com,www.ljhplastic.com,,Products Distributor,
Lipta Plastic Industries Sdn Bhd,162714-H,1987.0,Tsu Kim Poh,Director,Tsu Jia Min,Marketing Executive,"Plot 125, Jalan Industri 10, Kawasan Perindustrian Alor Gajah, Alar Gajah",78000.0,,Melaka,Malaysia,606-556 1088/89,606-556 1800,michellep82@hotmail.com,www.lipta.com.my,"Compounds, Pipe Extrusion","Insulation Vinyl Tube, Conduit, PVC Compound, Pressure Hose, Nursery Tray, Agricultural Hose , Children, Electrical and Electronics, Industrial and Construction, Agricultural, Compounds","Indonesia, Australia, Sri Lanka, Myanmar, Saudi Arabia, Vietnam"
Ling Sheng Plastic Industries Sdn Bhd,,,Lee Chooi Sun,Managing Partner,Lee Chooi Peng,Treasurer,"125,126, Jalan Semagagah, Permatang Pauh, Butterworth, Province Wellesley",13500.0,,Pulau Pinang,Malaysia,604-390 4782,604-399 3843,kenny.loo@boettcher-systems.com,,Recycling,Recycled Resin,
Linachem Sdn Bhd,199885-D,1990.0,Ung Thean Hock,Managing Director,"Richard Loo, Ben Ung","Sales Director, Business Development Manager","26 & 28, Jalan Serendah 26/39, Seksyen 26, Kawasan Perindustrian HICOM",40400.0,Shah Alam,Selangor,Malaysia,603-5614 3622,603-5103 9318,marketing@bpplas.com,www.linachem.com,,Chemicals,
Lim Teck Lee (M) Sdn Bhd,4886-P,1918.0,Lim Kaling,Director,Tan Song Seng,Operation Manager,"177, Beach Street",10300.0,Pulau Pinang,Pulau Pinang,Malaysia,604-261 3230/3043,604-262 2553,brilliantplastic@gmail.com,,,Resins,
Lim Seng Plastics Sdn Bhd,582068-T,1997.0,Beh Ah Lek,Managing Director,Beh Ah Lek,Managing Director,"22, Perisaran Perindustrian Pengkalan 23, Kawasan Perindustrian Pengkalan, Ipoh",31500.0,,Perak,Malaysia,605-3215 645,605-3215 706,bplastic@tm.net.my,www.limsengplastic.com.my,Recycling,"Recycled Resin - GPPS, HIPS & AS (SAN)",China
Life Water Industries Sdn Bhd,430481 -P,2002.0,Liaw Hen Kong,Director,,,"PO Box 2053, Sandakan",90752.0,,Sabah,Malaysia,089-675778,089-675833,bsmplastic@yahoo.com,www.lifewater.com.my,Blow Moulding,"PET Water Bottles, Drinking Water, Carbonated Soft Drinks , Containers and Bottles","Philippines, Myanmar, Brunei, China"
Lida Plastics Recycling Sdn Bhd,562689-H,1978.0,Soh Choon Hock,Director,Soh Choon Hock,Director,"6, Jalan Bistari 8, Taman Industri Jaya, Johor Bahru",81300.0,,Johor,Malaysia,607-512 5808,607-512 5809,williamwong5337@gmail.com,www.lidaplastics.com.my,"Compounds, Film Blowing/Film Extrusion , Recycling","Recycled Raw Materials, Recycled Resin","Sabah, Sarawak, Singapore, Brunei, Middle East"
LHP Packaging Sdn Bhd,1117482-K,2014.0,Chin Yoke Wah,,Manson Chin,,"No. 6, Jalan Sri Plentong, Masai",,,Johor,Malaysia,"607-386 3909, 6016-7717709",607-380 6808,sales@buteline.com.my,www.lhppackaging.com,"Injection Moulding, Foaming","Microwavable Food Container & Disposable Plastic Cutlery,  Houseware, Kitchenware and Tableware","France, Australia, Singapore, Brunei, Indonesia"
Lian Seng Heng Plastics Industry Sdn Bhd,233073-X,1969.0,Lok Guee Seng,Managing Director,Lok Guee Seng,Managing Director,"11, Jalan Lambak, Perindustrian Kawasan Taman Johor, Johor Bahru",81200.0,,Johor,Malaysia,607-2371590/1584,607-2383248,cmlimmf88@gmail.com,www.lsh.com.my,"Film Blowing/Film Extrusion, Extrusion , Gravure Printing","Bags and Sheets for Packaging in General, Products Manufactured include Plain and Printed Bags, Carry Bags, Food Packaging, Soft Loop Handle Bags, Die Cut Bags, Patch Handle Bags, Singlet Bags/T-Shirt Bags, Anti-Statics Bags, Freezer Bags, Gift Wrapping Film and Shrinkable Film , Films and Bags","Australia, France, Singapore, United States"
LH Plus Sdn Bhd,68405U,1947.0,Callum Chen,CEO,Callum Chen,CEO,"9, Persiaran Hemisfera, Seksyen U5, Shah Alam",40150.0,,Selangor,Malaysia,603-7846 2888,603-7846 2999,admin@c2polymer.com,www.lhplus.com,"Blow Moulding, Injection Moulding, Rotational Moulding, Extrusion Blow Moulding, Injection Stretch Blow , Spray-painting, Silkscreen-painting, Pad-printing, Ultrasonic Welding, Heat Transfer, Printing, Drying Oven, Design and Mould Making, Electro Plating","High-Quality Food and Storage Containers, Promotional Premium Gifts, Home and Kitchen Products, Baby Products, Packaging, Face Shield Frame , Children, Containers and Bottles, Houseware, Industrial and Construction, Recreational, Toys, Games, Sports","United States, ASEAN Nations, Australia, Europe, Latin America, Middle East, Hong Kong, China, Taiwan, Belgium, Luxembourg, Netherlands, United Kingdom, Japan"
Lension (M) Sdn Bhd,71090-H,1988.0,Lim Seong Nam,Chief Executive Officer,Kelvin Tan,,"PLO 165, Jalan Angkasa Mas Utama, Kawasan Perindustrian Tebrau 2, Johor Bahru",81100.0,,Johor,Malaysia,607-352 8212,607-352 9212,wengwai.kam@caldic.com.my,www.lension.com.my,"Film Blowing/Film Extrusion , Lamination, Gravure Printing","Variety of Plastic Packaging Products, Plain/Printed Shopping Vest Carrier Bags, Flexible Packaging Products for BOPP/CPP/PET/Nylon/Aluminium, Moisture Barrier Bags/Vacuum Bags, Electronics Packaging Products, Courier Bags, Degradable Bags, HDPE/LDPE/PP Films/Bags/Sheets/Bags on Roll, Flowers and Wicketted Bags, Garbage Bags/Bin Liners, Agricultural, Films and Bags","Singapore, Japan, Australia, United States, Europe, Africa"
Legrand Manufacturing (M) Sdn Bhd,543319-X,1994.0,Luca Moretto,Country Manager,Luca Moretto,Country Manager,"Lot 1888, KPB 7, Kawasan Perindustrian Balakong, Bukit Belimbing, Seri Kembangan",43300.0,,Selangor,Malaysia,603-8962 3333,603-8962 3388,cantermy@cantergroup.net,www.legrand.com.my,"Pipe Extrusion, Injection Moulding, Recycle Extrusion & Injection","Electrical Cable, Management System and Wiring Accessories, Recycle Plastic Material , Containers and Bottles, Electrical and Electronics, OEM Manufacturing","South East Asia, Sri Lanka, Middle East, Peru, Australia, Africa, Maldives, Mauritius"
Lee Soon Seng Plastic Industries Sdn Bhd,119117-M,1984.0,Dato' Sri Lee Hock Seng,Managing Director,Tai Chin Lian,Business Development Manager,"Lot 3304, Batu 24 ½, Jalan Kulai-Air Hitam, Kulai",81000.0,,Johor,Malaysia,607-6522 288,607-652 2299,bwtwn@aikjoo.com.my,www.plastictray.com,"Thermoforming, Extrusion","Plastic Trays, Plastic Cups, Food Containers, Food Packaging Trays, Egg Trays, Lunch Boxes, Blister, Packaging Trays, Clamshell Packaging, Tempscan Covers, Kidney Trays, Urinals, Plastic Saucers, Extrusion Sheets, Agricultural , Containers and Bottles, Electrical and Electronics, Houseware, Medical, Stationery, Toys, Games, Sports","Singapore, Australia, New Zealand, United States, United Arab Emirates, Thailand, Brunei, Philippines, Indonesia, Myanmar, Cambodia, Vietnam, Chile, India, South Africa"
Lee Poh Trading,AS0167695-W,1994.0,Goh Kim Poh,Managing Director,Goh Kim Poh,Managing Director,"No. 1042, Jalan Makmur 4/7, Taman Industries Makmur, Lunas",9600.0,,Kedah,Malaysia,604-484 9878/019-446 0938,604-484 9875,tsinc63@yahoo.com,,Recycling,Recycled Finished Products,
Lean Teak Plastics Factory (Imp & Exp) Sdn Bhd,,,Teoh Guan Huat,Chairman,Teoh Chye Tuan,Executive Director,"1353, Mk 15, Main Road, Sungai Bakap, Sungai Kawi, Province Wellesley South",14200.0,,Pulau Pinang,Malaysia,604-582 4159/4229,604-582 5752,enquiries@cdg.com.my,,Film Blowing/Film Extrusion,"Plastic Packaging Bags and Films , Films and Bags",
Lee Kee Industries (M) Sdn Bhd,234130-W,1992.0,Michael Khee,COO,Albert Goh,Senior Sales Manager,"38, Jalan Kangkar Tebrau, Johor Bahru",81100.0,,Johor,Malaysia,607-353 359,607-353 7672,centerpoint8@yahoo.com,,"Injection Moulding , Spray-painting, Silkscreen-painting, Pad-printing, Ultrasonic Welding","Electrical and Electronic Products in General, Computer Casing and Parts and Audio Parts , Electrical and Electronics","Norway, Singapore, Japan, United States"
Lean Lee Trading Co Sdn Bhd,195901000311 (3653-V),1959.0,Lim Geok Looi,Chairman,Khaw Siang Siang,Executive Director,"891, Jalan Kampung Juru, Juru, Bukit Mertajam",14000.0,,Pulau Pinang,Malaysia,604-502 1888/5792/5661/508 0994,604-502 1858/5398,central@centralmelamine.com.my,www.leanlee.com,Film Blowing/Film Extrusion,"All Types of Plastic Packaging Bags and Films (8 Colour Printing) , Films and Bags","Australia, Mauritius, Fiji, Papua New Guinea, Italy, Germany, Ireland, New Zealand, Cyprus, Sweden, Denmark, France"
Leaderart Industries (M) Sdn Bhd,102960V,1983.0,Liu Wei Hsiang,Managing Director,Liu Kuang Pei,Director of Business Advancement,"7, Jalan Kukoh, Tampoi",80350.0,Johor Bahru,Johor,Malaysia,607-236 4011,607-238 8063,acc@centralpackaging.com.my,www.leaderart.com.my/,Injection Moulding,"Maker Pen, Stationery Products","Australia, Argentina, France, Hong Kong, Mexico, Spain, USA"
Lambang Pasti Sdn Bhd,896000-X,2010.0,Heinz Bongers,Managing Director,Heinz Bongers,Managing Director,"No. 18, Perindustrian Jelapang Maju 6, Taman Perindustrian Ringan Jelapang Maju, Ipoh",30020.0,,Perak,Malaysia,605-528 6618,605-527 6618,sycheong@cewsin.com.my,www.lambangpasti.com/,,Equipment Supplier,
Lam Seng Plastics Industries Sdn Bhd,196701000064 (007043-A),1967.0,Tan Kim Leng,Managing Director,Lim Kong Tee/Man Hew,General Sales Manager,"No. 17, Jalan 223, Seksyen 51A, Petaling Jaya",46100.0,,Selangor,Malaysia,603-7955 9522,603-7955 9918,chplas@yahoo.com,www.lamsengplastics.com.my,"Injection Moulding, In Mould Labelling","Electrical and Electronic Products, Industrial Parts, Industrial Containers, Packaging Containers, Household Wares, Detergent Bottles, Plastic Carrier Reels and Brush Tufting Service , Containers and Bottles, Electrical and Electronics, Furniture, Houseware, Industrial and Construction","Singapore, Australia, Middle East, Philippine, Indonesia, Thailand, South Korea, Myanmar"
Lam Chong Trading Sdn Bhd,373136-H,1996.0,Teo Hock Lam,Managing Director,Chew Be Ding,HR Manager,"2625-1, Jalan PK35, Taman Perindustrian Krubong",75260.0,,Melaka,Malaysia,606-335 2519,606-335 2520,cheelc@chaiheng.net,www.lamchonggroup.com,"Extrusion , Crushing",Plastic Regind/Repelleted Resin,"China, Hong Kong, Japan, Europe"
L & L Trading Enterprise Sdn Bhd,1141578-M,2015.0,James Lee,Managing Director,James Lee,Managing Director,"30, Jalan Korporat 1B/KU9, Kawasan Perindustrian Meru",42200.0,Klang,Selangor,Malaysia,03-3393 0555,03-3393 0606,iris_chen@changhuat.com.my,www.lnlpoly.com,Blow Extrusion,"LDPE/LLDPE Film, Tubes, Bags , Films and Bags","South East Asia, Ocenia"
Kuang Beng Plastic Industry Sdn Bhd,,1980.0,Lim Fung Ooi,Director,Lim Fung Ooi,Director,"22, Laluan Perusahaan Kledang 5, Taman Perindustrian Chandan Raya, Ipoh",31450.0,,Perak,Malaysia,"605-2810987, 282 9035",605-2825191,info@chauyang.com.my,,Film Blowing/Film Extrusion,"HDPE Bags, LDPE Bags, PP Bags , Films and Bags, Textile, Apparel and Bags",
KSK Globalink Manufacturing Sdn Bhd,489663-H,1999.0,Kenny Kok,Director,Vivian Lee,Director,"2, Jalan IKS Simpang Ampat, Taman IKS",14100.0,Simpang Ampat,Pulau Pinang,Malaysia,04-588 9811,04-588 2811,,www.kskglobal.com,Injection Moulding,"Castor Wheel, Magnetic Door Part, Industrial and Construction - Products and Parts","Egypt, Algeria, China, Vietnam, Sri Lanka"
KRAIBURG TPE Technology (M) Sdn Bhd,199601032477,1996.0,Hew Hong Yong,Managing Director,Sam Chen,Regional Sales Manager (SEA),"Lot 1839, Jalan KPB6, Kawasan Perindustrian Balakong",43300.0,Seri Kembangan,Selangor,Malaysia,03-9545 6393,,,www.kraiburg-tpe.com,Extrusion,"Thermoplastic Elastomer, TPE, Packaging - Others",Asia Pacific
KPI Plastic (M) Sdn Bhd,,,Edwin Yan Siew Yen,CEO,Shawn Yan Wei Hin,Manager,"44 & 46, Jalan Taming 5, Taman Taming Jaya, Balakong",43300.0,,Selangor,Malaysia,"603-8961 3600, 8961 3534",603-8961 4376,karen@chemiaworld.com,www.kpi-plastic.com,"Blow Moulding, Injection Moulding","Containers, Injection Moulding Parts, Bottles, Scoop , Containers and Bottles, Medical, OEM Manufacturing","Europe, Middle East"
Kossan FRP Industries (M) Sdn Bhd,159277-H,1984.0,Lim Kuang Chee,Operation Director,Soo Wei Seong,CEO,"Lot 15853, Batu 5 ¾, Jalan Kapar, Klang",42100.0,,Selangor,Malaysia,603-3291 7088/77,603-3291 9088,qozdenler@chemorbis.com,www.kossanfrp.com.my,"Thermoforming, Rotational Moulding , Rotational Moulding, Hand-Lay Method","Water Storage Tanks, Sewage Treatment Packaged Plants, Chemical Storage and Fuel Tanks, Solvent and Fuel Tanks, Lining and Plate, Pipes and Fittings, Scrubbers and Lamellar Clarifiers, HDPE Septic Tanks, PE Water Storage Tanks, PE/ PP/ PVC/ PVDF Chemical Tanks, Acrylic Bath Tub, Thermal Insulated Containers, Industrial and Construction","Indonesia, Thailand, Myanmar, Vietnam"
Kok Huat Trading Sdn Bhd,,,Choo Khin Min,Director,Choo Khin Min,Director,"30, Jalan Satria 10, Taman Perindustrian JB Perdana, Johor Bahru",81200.0,,Johor,Malaysia,607-511 1108,607-511 1103,chemtube@chemtube.com,,"Blow Moulding, Film Blowing/Film Extrusion, Foam Moulding","Houseware, Kitchenware, Tableware, Films, Bags , Films and Bags, Houseware",
KLK OLEO,185886-V,1989.0,Kow Tiat Yong,Deputy CEO,Howard Oh Aik Howe,"General Manager, Sales & Marketing Specialty Chemicals","Level 8, Menara KLK, No. 1, Jalan PJU 7/6, Mutiara Damansara",47810.0,Petaling Jaya,Selangor,Malaysia,603-7809 8833,,teohc@cpchem.com,www.klkoleo.com,,"Additives, Chemicals, Compounds, Ink, Lubricants, Resin, Masterbatches, Solvents, Oleochemicals & Derivatives, Polymer Additives, Biolubricants","Bangladesh, India, Indonesia, South Africa, China, Japan, Korea, Pakistan, Philippines, Singapore, Thailand, Turkey, United Arab Emirates, Vietnam, Germany, Mexico, United States, Australia, Brazil"
Kitaran Global Industri (M) Sdn Bhd,715237-K,2006.0,Kenny Gan Kian Aun,Managing Director,Kenny Gan Kian Aun,Managing Director,"Lot 39605, Jalan Bukit Kemuning, Batu 6, Seksyen 34",40470.0,Shah Alam,Selangor,Malaysia,6012-304 2178,,kendrickfoo@cygrecycle.com,,"Pipe Extrusion, Extrusion Pelletising (Recycling)","Recycled Resin and HDPE Pipes, Industrial and Construction - Products and Parts",
King Wai Industries Sdn Bhd,1054200-P,2013.0,Roland Tan,Managing Director,,,"Lot 12694, Jalan TJ2/3, Tuanku Ja'afar Ind Park, Sungai Gadut, Seremban",71450.0,,Negeri Sembilan,Malaysia,606-679 6688,606-679 8333,customer@chianta.com,www.kingwaigroup.com,"Profile Extrusion , Ultrasonic Welding, Stamping, Milling, Drilling, Mitering","Electrical and Electronics Products, Furniture, Industrial and Contrustion Products, OEM Manufacturing, Stationary Products , Electrical and Electronics, Furniture, OEM Manufacturing, Stationery","Singapore, China"
King Seng Plastic Industrial Sdn Bhd,,1979.0,Lee Ming,Managing Director,Lee Ming,Managing Director,"No. 1, Lorong 5, Jalan Then Kung Suk,",96000.0,Sibu,Sarawak,Malaysia,6084-214 788,6084-214 788,chiaphup@tm.net.my,,Film Blowing/Film Extrusion,"Plastic Bags, Bags/Films",
Kim Sheng Plastic Packaging Sdn Bhd,,,Tan Hoo Hout,Proprietor,Tan Hoo Hout,Proprietor,"18 & 20, Lorong Murni 7, Taman Desa Murni, Sungai Dua",13800.0,,Pulau Pinang,Malaysia,604-356 5320,604-356 5318,chigalight@hartapack.com,,Film Blowing/Film Extrusion,"Bags , Films and Bags",
Kim Ong Seng Plastic Products Sdn Bhd,651511-U,2004.0,Ching Lian Chye,Managing Director,Shyin Tham,Finance Director,"PT 42044H, Ground Floor, Jalan Kapar 2 1/2, Kampung Batu Belah",42100.0,Klang,Selangor,Malaysia,603-3343 4371,603-3343 6917,chinlean@tm.net.my,www.kosplus.com,"Injection Moulding, Spray-painting, Silkscreening, Hot Stamping","Home Appliances Accessories, Office Equipment Accessories, Automotive Products , Houseware, Kitchenware and Tableware - Products, Parts and Accessories, Transportation - Parts and Accessories",
Keystone Packaging Sdn Bhd,1076075-K,2014.0,Tim Seaw,Managing Director,Eric,Marketing Director,"No. 2, Jalan Permatang, Taman Desa Jaya, Johor Bahru",81100.0,,Johor,Malaysia,607- 871 1103,,general@chongwahgroup.com,,"Film Blowing/Film Extrusion, Castling, Rewind & Slitting","OPP Tape, PVC Tape, Stretch Film, LDPBag , Film/Bag",
Khim Chew Enterprise,,,Ng Ak Kau,Managing Director,Ng Hung Loon,Manager,"2590, Tingkat Selamat 8, Kampung Selamat, Tasek Gelugor, Seberang Perai Utara",13300.0,,Pulau Pinang,Malaysia,604-573 4399,604-573 4399,choonhuat012@hotmail.com,,Film Blowing/Film Extrusion,"HD and LD Large Bags, Garbage Bags, Plant Bags , Films and Bag",
Kierie Plastic Sdn Bhd,,,,,Loh Hai Leng,Managing Director,"Lot 2552, Wisma Kierie, Jalan Seruling 59, Taman Klang Jaya, Klang",41200.0,,Selangor,Malaysia,"603-3323 2682,3323 3759",603-3323 5388,sales@chpisb.com.my,www.kierieplastic.com/,Injection Moulding,"Plastic Injection Parts , OEM Manufacturing","USA, Europe, Japan"
Kepong PVC Sdn Bhd,945589-A,2011.0,Brian Oo,Marketing/Purchasing,Tan Kim Poh,Marketing/Purchasing,"No. 11A, Jalan Zurah 1A, Kawasan Perindustrian Zurah, Bandar Rasa, Hulu Selangor",44200.0,,Selangor,Malaysia,"6017-251 0029, 6012-308 0925, 6016-553 2538",603-6081 3132,chuanlee.7014@gmail.com,,"Compounds, Injection Moulding , Recycling","PVC Boot, Slipper, PP Strapping Band, PVC Compound, PP Compound, PE Compund , Footwear, Packaging","China, Thailand, India"
Kedah Industrian Skills and Management Development Centre,PPM-004-02-31031993,1993.0,Mohd Yusuri b. Yusuf,Executive Director,,,"126, Jalan PKNK 1/1, Kawasan Perusahaan Sungai Petani, Sungai Petani",8000.0,,Kedah,Malaysia,604-441 4619/21,604-441 4622,,www.kismec.org.my/website/,,,
Keng Cheong Trading Co Sdn Bhd,31105-H,1977.0,Tan Chin Wah,Managing Director,,,"22, Jalan Kikik, Taman Inderawasih",13600.0,Prai,Pulau Pinang,Malaysia,604-399 1378,604-399 1379,,,,"Compounds, Machinery Supplier, Equipment Supplier, Masterbatches, Resins",
Kentmold Industries Sdn Bhd,227280-V,1987.0,Wong Choon Peng,Managing Director,Wong Choon Peng,Managing Director,"10 & 12 , Lorong Industri Ringan 1, Taman Industri Ringan Juru",14100.0,Simpang Ampat,Pulau Pinang,Malaysia,604-508 2311-5,604-508 2316,chyeplastic@gmail.com,,,Mould Makers,
Kean Beng Lee Industries (M) Sdn Bhd,399320-T,1996.0,Leong Jyh Wen,CEO,Leong Jyh Wen,CEO,"1384, Atas Lot 841, Mk 1, Jalan Tasek, Simpang Ampat, Seberang Perai",14120.0,,Pulau Pinang,Malaysia,604-588 0906,604-588 0907,cipliind@gmail.com,www.baba.com.my,"Blow Moulding, Injection Moulding , Spray-painting","Flower Pots and Gardening Products, Food Dish, Agricultural , Gardening","Thailand, Australia, Philippines, Saudi Arabia, Hong Kong, Mauritius, Singapore, Brunei, South Africa, Malta, United Arab Emirates, Kuwait, Vietnam, Mexico, Macau, Canada, Scandinavia, Switzerland, United States, Panama, Costa Rica, Lebanon, New Zealand, England, Uruguay, Fiji Island, Curacao, Aruba"
Karich Sdn Bhd,272057-T,1993.0,Teo Hock Kar,Managing Director,May HL Teo,Marketing Director,"Lot 5147, Jalan Bunga Raya Batu 5 ½, Off Jalan Teratai, Meru Klang",41050.0,,Selangor,Malaysia,603-3392 8488,603-3392 9096,nicholas@citc.com.my,www.karich.com.my,"Extrusion Pelletising (Recycling) , Close Loop Extraction Repellesting System, Precious Metal Recovery","Recycled Resin, Close Grade Plastic Resin, Total Waste Management Services","China, Hong Kong, Indonesia, Taiwan, Greece, India, Singapore"
